Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
12-03-2020,6:00 PM,0,0,1,0.0,1.0,1,0.0,0.0,100.0
13-03-2020,6:00 PM,0,0,1,0.0,1.0,1,0.0,0.0,100.0
14-03-2020,6:00 PM,0,0,1,0.0,1.0,1,0.0,0.0,100.0
15-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
16-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
17-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
18-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
19-03-2020,6:00 PM,0,0,2,2.0,0.0,2,0.0,0.0,100.0
20-03-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
21-03-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
22-03-2020,6:00 PM,0,0,5,5.0,0.0,5,0.0,0.0,100.0
23-03-2020,6:00 PM,0,0,7,5.0,2.0,7,0.0,0.0,100.0
24-03-2020,6:00 PM,0,0,8,5.0,3.0,8,0.0,0.0,100.0
25-03-2020,6:00 PM,1,0,9,9.0,0.0,8,0.0,11.11111111111111,88.88888888888889
26-03-2020,6:00 PM,1,0,11,11.0,0.0,10,0.0,9.090909090909092,90.9090909090909
27-03-2020,10:00 AM,1,0,12,12.0,0.0,11,0.0,8.333333333333332,91.66666666666666
28-03-2020,6:00 PM,1,0,14,14.0,0.0,13,0.0,7.142857142857142,92.85714285714286
29-03-2020,7:30 PM,1,0,19,14.0,5.0,18,0.0,5.263157894736842,94.73684210526315
30-03-2020,9:30 PM,1,0,23,23.0,0.0,22,0.0,4.3478260869565215,95.65217391304348
31-03-2020,8:30 PM,1,0,40,40.0,0.0,39,0.0,2.5,97.5
01-04-2020,7:30 PM,1,0,83,83.0,0.0,82,0.0,1.2048192771084338,98.79518072289156
02-04-2020,6:00 PM,1,1,86,86.0,0.0,84,1.1627906976744187,1.1627906976744187,97.67441860465115
03-04-2020,6:00 PM,1,1,132,132.0,0.0,130,0.7575757575757576,0.7575757575757576,98.48484848484848
04-04-2020,6:00 PM,1,1,161,161.0,0.0,159,0.6211180124223602,0.6211180124223602,98.75776397515527
05-04-2020,6:00 PM,1,1,190,190.0,0.0,188,0.5263157894736842,0.5263157894736842,98.94736842105263
06-04-2020,6:00 PM,1,3,226,226.0,0.0,222,1.3274336283185841,0.4424778761061947,98.23008849557522
07-04-2020,6:00 PM,1,3,266,266.0,0.0,262,1.1278195488721803,0.37593984962406013,98.49624060150376
08-04-2020,5:00 PM,5,4,305,305.0,0.0,296,1.3114754098360655,1.639344262295082,97.04918032786885
09-04-2020,5:00 PM,6,4,348,348.0,0.0,338,1.1494252873563218,1.7241379310344827,97.12643678160919
10-04-2020,5:00 PM,7,6,363,363.0,0.0,350,1.6528925619834711,1.9283746556473829,96.41873278236915
11-04-2020,5:00 PM,11,6,381,381.0,0.0,364,1.574803149606299,2.8871391076115485,95.53805774278216
12-04-2020,5:00 PM,11,6,381,381.0,0.0,364,1.574803149606299,2.8871391076115485,95.53805774278216
13-04-2020,5:00 PM,11,7,432,432.0,0.0,414,1.6203703703703702,2.5462962962962963,95.83333333333334
14-04-2020,5:00 PM,14,9,473,473.0,0.0,450,1.9027484143763214,2.9598308668076108,95.13742071881607
15-04-2020,5:00 PM,16,9,503,503.0,0.0,478,1.7892644135188867,3.180914512922465,95.02982107355865
16-04-2020,5:00 PM,20,14,534,534.0,0.0,500,2.6217228464419478,3.7453183520599254,93.63295880149812
17-04-2020,5:00 PM,36,14,572,572.0,0.0,522,2.4475524475524475,6.293706293706294,91.25874125874127
18-04-2020,5:00 PM,42,15,603,603.0,0.0,546,2.4875621890547266,6.965174129353234,90.54726368159204
19-04-2020,5:00 PM,42,15,603,603.0,0.0,546,2.4875621890547266,6.965174129353234,90.54726368159204
20-04-2020,5:00 PM,92,20,722,722.0,0.0,610,2.7700831024930745,12.742382271468145,84.48753462603878
21-04-2020,5:00 PM,96,22,757,757.0,0.0,639,2.906208718626156,12.681638044914134,84.4121532364597
22-04-2020,5:00 PM,120,24,813,813.0,0.0,669,2.952029520295203,14.760147601476014,82.28782287822878
23-04-2020,5:00 PM,141,27,895,895.0,0.0,727,3.016759776536313,15.754189944134078,81.22905027932961
24-04-2020,5:00 PM,145,29,955,955.0,0.0,781,3.0366492146596857,15.18324607329843,81.78010471204189
25-04-2020,5:00 PM,171,31,1061,1061.0,0.0,859,2.9217719132893496,16.116870876531575,80.96135721017907
26-04-2020,5:00 PM,231,31,1097,1097.0,0.0,835,2.8258887876025525,21.05742935278031,76.11668185961715
27-04-2020,5:00 PM,235,31,1177,1177.0,0.0,911,2.6338147833474936,19.966015293118097,77.4001699235344
28-04-2020,5:00 PM,258,31,1259,1259.0,0.0,970,2.4622716441620334,20.49245432883241,77.04527402700556
29-04-2020,5:00 PM,287,31,1332,1332.0,0.0,1014,2.3273273273273274,21.546546546546548,76.12612612612612
30-04-2020,5:00 PM,321,31,1403,1403.0,0.0,1051,2.209550962223806,22.879543834640057,74.91090520313614
01-05-2020,5:00 PM,403,33,1463,1463.0,0.0,1027,2.2556390977443606,27.546138072453864,70.19822282980178
02-05-2020,5:00 PM,403,33,1463,1463.0,0.0,1027,2.2556390977443606,27.546138072453864,70.19822282980178
03-05-2020,5:00 PM,488,33,1583,1583.0,0.0,1062,2.0846493998736575,30.827542640555905,67.08780795957043
04-05-2020,5:00 PM,524,36,1650,1650.0,0.0,1090,2.181818181818182,31.757575757575758,66.06060606060606
05-05-2020,5:00 PM,589,36,1717,1717.0,0.0,1092,2.09668025626092,34.30401863715783,63.59930110658125
06-05-2020,8:00 AM,589,36,1717,1717.0,0.0,1092,2.09668025626092,34.30401863715783,63.59930110658125
07-05-2020,8:00 AM,729,36,1777,1777.0,0.0,1012,2.0258863252673045,41.02419808666291,56.94991558806978
08-05-2020,8:00 AM,780,38,1847,1847.0,0.0,1029,2.057390362750406,42.230644288034654,55.71196534921494
09-05-2020,8:00 AM,842,41,1887,1887.0,0.0,1004,2.172760996290408,44.62109167991521,53.20614732379438
10-05-2020,8:00 AM,887,44,1930,1930.0,0.0,999,2.2797927461139897,45.95854922279793,51.76165803108809
11-05-2020,8:00 AM,925,45,1980,1980.0,0.0,1010,2.272727272727273,46.717171717171716,51.010101010101
12-05-2020,8:00 AM,975,45,2018,2018.0,0.0,998,2.2299306243805748,48.31516352824578,49.45490584737364
13-05-2020,8:00 AM,1056,46,2090,2090.0,0.0,988,2.200956937799043,50.526315789473685,47.27272727272727
14-05-2020,8:00 AM,1142,47,2137,2137.0,0.0,948,2.1993448759943846,53.439401029480585,44.36125409452504
15-05-2020,8:00 AM,1192,48,2205,2205.0,0.0,965,2.1768707482993195,54.058956916099774,43.76417233560091
16-05-2020,8:00 AM,1252,48,2307,2307.0,0.0,1007,2.080624187256177,54.269614217598615,43.64976159514521
17-05-2020,8:00 AM,1353,49,2355,2355.0,0.0,953,2.08067940552017,57.452229299363054,40.467091295116774
18-05-2020,8:00 AM,1456,50,2407,2407.0,0.0,901,2.077274615704196,60.49023680930618,37.43248857498961
19-05-2020,8:00 AM,1552,50,2474,2474.0,0.0,872,2.021018593371059,62.73241713823767,35.24656426839127
20-05-2020,8:00 AM,1621,52,2532,2532.0,0.0,859,2.0537124802527646,64.02053712480253,33.92575039494471
21-05-2020,8:00 AM,1640,53,2602,2602.0,0.0,909,2.0368946963873946,63.02843966179862,34.934665641813986
22-05-2020,8:00 AM,1709,53,2647,2647.0,0.0,885,2.0022667170381565,64.5636569701549,33.43407631280695
23-05-2020,8:00 AM,1763,55,2709,2709.0,0.0,891,2.0302694721299375,65.07936507936508,32.89036544850498
24-05-2020,8:00 AM,1809,56,2757,2757.0,0.0,892,2.0311933260790718,65.61479869423286,32.35400797968806
25-05-2020,8:00 AM,1856,56,2823,2823.0,0.0,911,1.983705278072972,65.74566064470422,32.270634077222816
26-05-2020,8:00 AM,1896,56,3110,3110.0,0.0,1158,1.8006430868167203,60.964630225080384,37.234726688102896
27-05-2020,8:00 AM,2009,57,3171,3171.0,0.0,1105,1.7975402081362346,63.35540838852097,34.847051403342796
28-05-2020,8:00 AM,2057,58,3171,3171.0,0.0,1056,1.829076001261432,64.86912645853043,33.30179754020814
29-05-2020,8:00 AM,2125,59,3251,3251.0,0.0,1067,1.8148262073208243,65.36450322977545,32.82067056290372
30-05-2020,8:00 AM,2226,60,3436,3436.0,0.0,1150,1.7462165308498252,64.78463329452853,33.46915017462165
31-05-2020,8:00 AM,2289,60,3569,3569.0,0.0,1220,1.6811431773606051,64.1356122163071,34.18324460633231
01-06-2020,8:00 AM,2349,62,3679,3679.0,0.0,1268,1.6852405544985052,63.84887197608046,34.465887469421034
02-06-2020,8:00 AM,2378,64,3783,3783.0,0.0,1341,1.6917790113666402,62.86016389109172,35.448057097541636
03-06-2020,8:00 AM,2421,64,3898,3898.0,0.0,1413,1.6418676244227808,62.108773730118,36.24935864545921
04-06-2020,8:00 AM,2466,68,4080,4080.0,0.0,1546,1.6666666666666667,60.44117647058823,37.8921568627451
05-06-2020,8:00 AM,2539,71,4223,4223.0,0.0,1613,1.6812692398768647,60.12313521193464,38.19559554818849
06-06-2020,8:00 AM,2576,73,4303,4303.0,0.0,1654,1.6964908203578897,59.86521031838252,38.43829886125958
07-06-2020,8:00 AM,2620,73,4510,4510.0,0.0,1817,1.6186252771618626,58.09312638580931,40.288248337028826
08-06-2020,8:00 AM,2682,75,4708,4708.0,0.0,1951,1.59303313508921,56.96686491079015,41.44010195412064
09-06-2020,8:00 AM,2745,75,4851,4851.0,0.0,2031,1.5460729746444033,56.58627087198516,41.86765615337044
10-06-2020,8:00 AM,2802,77,5070,5070.0,0.0,2191,1.5187376725838264,55.26627218934911,43.21499013806706
11-06-2020,8:00 AM,2899,78,5269,5269.0,0.0,2292,1.480356803947618,55.019927880053146,43.49971531599925
12-06-2020,8:00 AM,3048,80,5429,5429.0,0.0,2301,1.4735678762202984,56.14293608399337,42.38349603978634
13-06-2020,8:00 AM,3105,80,5680,5680.0,0.0,2495,1.4084507042253522,54.66549295774647,43.92605633802817
14-06-2020,8:00 AM,3195,82,5965,5965.0,0.0,2688,1.374685666387259,53.56244761106454,45.0628667225482
15-06-2020,8:00 AM,3314,84,6163,6163.0,0.0,2765,1.362972578289794,53.77251338633783,44.86451403537238
16-06-2020,8:00 AM,3316,88,6456,6456.0,0.0,3052,1.3630731102850062,51.36307311028501,47.273853779429984
17-06-2020,8:00 AM,3509,88,6841,6841.0,0.0,3244,1.286361643034644,51.29367051600643,47.419967840958925
18-06-2020,8:00 AM,3641,90,7071,7071.0,0.0,3340,1.2728044123886295,51.49200961674445,47.23518597086692
19-06-2020,8:00 AM,3789,92,7518,7518.0,0.0,3637,1.223729715349827,50.39904229848364,48.37722798616653
20-06-2020,8:00 AM,3917,96,7961,7961.0,0.0,3948,1.2058786584599923,49.20236151237282,49.591759829167195
21-06-2020,8:00 AM,4111,101,8452,8452.0,0.0,4240,1.1949834358731661,48.63937529578798,50.16564126833886
22-06-2020,8:00 AM,4331,106,8999,8999.0,0.0,4562,1.1779086565173909,48.12756972997,50.69452161351261
23-06-2020,8:00 AM,4495,111,9372,9372.0,0.0,4766,1.1843790012804098,47.96201451131029,50.85360648740931
24-06-2020,8:00 AM,4599,119,10002,10002.0,0.0,5284,1.1897620475904818,45.98080383923215,52.82943411317736
25-06-2020,8:00 AM,4779,124,10331,10331.0,0.0,5428,1.2002710289420193,46.2588326396283,52.54089633142968
26-06-2020,8:00 AM,4988,136,10884,10884.0,0.0,5760,1.2495406100698274,45.828739434031604,52.921719955898574
27-06-2020,8:00 AM,5196,148,11489,11489.0,0.0,6145,1.2881887022369223,45.225868221777354,53.48594307598572
28-06-2020,8:00 AM,5480,157,12285,12285.0,0.0,6648,1.277981277981278,44.6072446072446,54.114774114774114
29-06-2020,8:00 AM,5908,169,13241,13241.0,0.0,7164,1.2763386451174383,44.61898648138358,54.10467487349898
30-06-2020,8:00 AM,6232,180,13891,13891.0,0.0,7479,1.2958030379382333,44.86358073572817,53.840616226333594
01-07-2020,8:00 AM,6511,187,14595,14595.0,0.0,7897,1.2812607057211374,44.61116820829051,54.10757108598835
02-07-2020,8:00 AM,6988,193,15252,15252.0,0.0,8071,1.2654078153684762,45.81694204038815,52.917650144243375
03-07-2020,8:00 AM,7313,198,16097,16097.0,0.0,8586,1.2300428651301485,45.43082561968069,53.339131515189166
04-07-2020,8:00 AM,7632,206,16934,16934.0,0.0,9096,1.2164875398606354,45.06909176804063,53.71442069209874
05-07-2020,8:00 AM,8008,218,17699,17699.0,0.0,9473,1.2317080061020396,45.24549409571163,53.52279789818633
06-07-2020,8:00 AM,8422,232,18697,18697.0,0.0,10043,1.2408407765951757,45.04465957105418,53.714499652350646
07-07-2020,8:00 AM,8920,239,20019,20019.0,0.0,10860,1.1938658274639091,44.55767021329737,54.24846395923873
08-07-2020,8:00 AM,9745,252,21197,21197.0,0.0,11200,1.188847478416757,45.973486814171814,52.83766570741143
09-07-2020,8:00 AM,11101,264,22259,22259.0,0.0,10894,1.1860371085852912,49.87196190305045,48.942000988364256
10-07-2020,8:00 AM,12154,277,23814,23814.0,0.0,11383,1.1631813219114806,51.03720500545897,47.79961367262955
11-07-2020,8:00 AM,13194,292,25422,25422.0,0.0,11936,1.1486114389111794,51.899929195185265,46.951459365903546
