Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
20-03-2020,6:00 PM,0,0,5,5.0,0.0,5,0.0,0.0,100.0
21-03-2020,6:00 PM,0,0,7,7.0,0.0,7,0.0,0.0,100.0
22-03-2020,6:00 PM,0,1,18,18.0,0.0,17,5.555555555555555,0.0,94.44444444444444
23-03-2020,6:00 PM,0,1,29,29.0,0.0,28,3.4482758620689653,0.0,96.55172413793103
24-03-2020,6:00 PM,0,1,33,32.0,1.0,32,3.0303030303030303,0.0,96.96969696969697
25-03-2020,6:00 PM,0,1,38,37.0,1.0,37,2.631578947368421,0.0,97.36842105263158
26-03-2020,6:00 PM,0,3,43,42.0,1.0,40,6.976744186046512,0.0,93.02325581395348
27-03-2020,10:00 AM,0,3,43,42.0,1.0,40,6.976744186046512,0.0,93.02325581395348
28-03-2020,6:00 PM,0,3,45,44.0,1.0,42,6.666666666666667,0.0,93.33333333333333
29-03-2020,7:30 PM,1,5,58,52.0,6.0,52,8.620689655172415,1.7241379310344827,89.65517241379311
30-03-2020,9:30 PM,1,6,69,68.0,1.0,62,8.695652173913043,1.4492753623188406,89.85507246376811
31-03-2020,8:30 PM,3,6,73,72.0,1.0,64,8.21917808219178,4.10958904109589,87.67123287671232
01-04-2020,7:30 PM,5,6,82,73.0,9.0,71,7.317073170731707,6.097560975609756,86.58536585365853
02-04-2020,6:00 PM,8,7,87,81.0,6.0,72,8.045977011494253,9.195402298850574,82.75862068965517
03-04-2020,6:00 PM,10,8,95,94.0,1.0,77,8.421052631578947,10.526315789473683,81.05263157894737
04-04-2020,6:00 PM,14,10,105,104.0,1.0,81,9.523809523809524,13.333333333333334,77.14285714285715
05-04-2020,6:00 PM,18,11,122,121.0,1.0,93,9.01639344262295,14.754098360655737,76.22950819672131
06-04-2020,6:00 PM,22,12,144,141.0,3.0,110,8.333333333333332,15.277777777777779,76.38888888888889
07-04-2020,6:00 PM,25,13,165,162.0,3.0,127,7.878787878787878,15.151515151515152,76.96969696969697
08-04-2020,5:00 PM,25,13,165,162.0,3.0,127,7.878787878787878,15.151515151515152,76.96969696969697
09-04-2020,5:00 PM,25,16,179,176.0,3.0,138,8.938547486033519,13.966480446927374,77.09497206703911
10-04-2020,5:00 PM,26,17,241,238.0,3.0,198,7.053941908713693,10.78838174273859,82.15767634854771
11-04-2020,5:00 PM,31,19,308,305.0,3.0,258,6.1688311688311686,10.064935064935066,83.76623376623377
12-04-2020,5:00 PM,44,22,432,429.0,3.0,366,5.092592592592593,10.185185185185185,84.72222222222221
13-04-2020,5:00 PM,47,26,539,536.0,3.0,466,4.823747680890538,8.719851576994433,86.45640074211502
14-04-2020,5:00 PM,55,26,617,613.0,4.0,536,4.213938411669368,8.914100486223662,86.87196110210697
15-04-2020,5:00 PM,59,30,695,691.0,4.0,606,4.316546762589928,8.489208633093526,87.19424460431655
16-04-2020,5:00 PM,64,36,871,867.0,4.0,771,4.133180252583238,7.347876004592423,88.51894374282435
17-04-2020,5:00 PM,74,38,1021,1017.0,4.0,909,3.721841332027424,7.247796278158668,89.03036238981392
18-04-2020,5:00 PM,88,48,1272,1268.0,4.0,1136,3.7735849056603774,6.918238993710692,89.30817610062893
19-04-2020,5:00 PM,94,58,1604,1600.0,4.0,1452,3.6159600997506236,5.860349127182045,90.52369077306733
20-04-2020,5:00 PM,106,67,1851,1847.0,4.0,1678,3.6196650459211237,5.726634251755808,90.65370070232306
21-04-2020,5:00 PM,131,77,2066,2062.0,4.0,1858,3.7270087124878994,6.340755082284607,89.93223620522748
22-04-2020,5:00 PM,144,95,2272,2268.0,4.0,2033,4.181338028169014,6.338028169014084,89.4806338028169
23-04-2020,5:00 PM,179,103,2407,2403.0,4.0,2125,4.279185708350644,7.436643124221022,88.28417116742834
24-04-2020,5:00 PM,258,112,2624,2620.0,4.0,2254,4.2682926829268295,9.832317073170731,85.89939024390245
25-04-2020,5:00 PM,265,127,2815,2806.0,9.0,2423,4.511545293072825,9.41385435168739,86.07460035523978
26-04-2020,5:00 PM,282,133,3071,3062.0,9.0,2656,4.330836860957342,9.182676652556172,86.48648648648648
27-04-2020,5:00 PM,313,151,3301,3292.0,9.0,2837,4.574371402605271,9.481975159042715,85.94365343835202
28-04-2020,5:00 PM,394,162,3548,3539.0,9.0,2992,4.565952649379932,11.104847801578353,84.32919954904172
29-04-2020,5:00 PM,434,181,3774,3765.0,9.0,3159,4.795972443031267,11.499735029146795,83.70429252782195
30-04-2020,5:00 PM,527,197,4082,4073.0,9.0,3358,4.826065654091131,12.910338069573738,82.26359627633512
01-05-2020,5:00 PM,613,214,4395,4386.0,9.0,3568,4.869169510807736,13.947667804323094,81.18316268486917
