Date,Cured,Death,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
30-01-2020,0,0,1,1.0,0.0,1,0.0,0.0,100.0,1
31-01-2020,0,0,1,1.0,0.0,1,0.0,0.0,100.0,0
01-02-2020,0,0,2,2.0,0.0,2,0.0,0.0,100.0,1
02-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,1
03-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
04-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
05-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
06-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
07-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
08-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
09-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
10-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
11-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
12-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
13-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
14-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
15-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
16-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
17-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
18-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
19-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
20-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
21-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
22-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
23-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
24-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
25-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
26-02-2020,0,0,3,3.0,0.0,3,0.0,0.0,100.0,0
