Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
09-03-2020,6:00 PM,0,0,1,-13.0,14.0,1,0.0,0.0,100.0,1
10-03-2020,6:00 PM,0,0,4,4.0,0.0,4,0.0,0.0,100.0,4
11-03-2020,6:00 PM,0,0,4,4.0,0.0,4,0.0,0.0,100.0,4
12-03-2020,6:00 PM,0,0,4,4.0,0.0,4,0.0,0.0,100.0,4
13-03-2020,6:00 PM,0,1,6,6.0,0.0,5,16.666666666666664,0.0,83.33333333333334,6
14-03-2020,6:00 PM,0,1,6,6.0,0.0,5,16.666666666666664,0.0,83.33333333333334,6
15-03-2020,6:00 PM,0,1,6,6.0,0.0,5,16.666666666666664,0.0,83.33333333333334,6
16-03-2020,6:00 PM,0,1,6,6.0,0.0,5,16.666666666666664,0.0,83.33333333333334,6
17-03-2020,6:00 PM,0,1,11,11.0,0.0,10,9.090909090909092,0.0,90.9090909090909,11
18-03-2020,6:00 PM,0,1,11,11.0,0.0,10,9.090909090909092,0.0,90.9090909090909,11
19-03-2020,6:00 PM,0,1,14,14.0,0.0,13,7.142857142857142,0.0,92.85714285714286,14
20-03-2020,6:00 PM,1,1,15,15.0,0.0,13,6.666666666666667,6.666666666666667,86.66666666666667,15
21-03-2020,6:00 PM,1,1,15,15.0,0.0,13,6.666666666666667,6.666666666666667,86.66666666666667,15
22-03-2020,6:00 PM,2,1,26,26.0,0.0,23,3.8461538461538463,7.6923076923076925,88.46153846153845,26
23-03-2020,6:00 PM,2,1,33,33.0,0.0,30,3.0303030303030303,6.0606060606060606,90.9090909090909,33
24-03-2020,6:00 PM,3,1,37,37.0,0.0,33,2.7027027027027026,8.108108108108109,89.1891891891892,37
25-03-2020,6:00 PM,3,1,41,41.0,0.0,37,2.4390243902439024,7.317073170731707,90.2439024390244,41
26-03-2020,6:00 PM,3,2,55,55.0,0.0,50,3.6363636363636362,5.454545454545454,90.9090909090909,55
27-03-2020,10:00 AM,3,2,55,55.0,0.0,50,3.6363636363636362,5.454545454545454,90.9090909090909,55
28-03-2020,6:00 PM,3,2,55,55.0,0.0,50,3.6363636363636362,5.454545454545454,90.9090909090909,55
29-03-2020,7:30 PM,5,3,76,76.0,0.0,68,3.9473684210526314,6.578947368421052,89.47368421052632,76
30-03-2020,9:30 PM,5,3,83,83.0,0.0,75,3.614457831325301,6.024096385542169,90.36144578313254,83
31-03-2020,8:30 PM,5,3,83,83.0,0.0,75,3.614457831325301,6.024096385542169,90.36144578313254,83
01-04-2020,7:30 PM,8,3,101,101.0,0.0,90,2.9702970297029703,7.920792079207921,89.10891089108911,101
02-04-2020,6:00 PM,9,3,110,110.0,0.0,98,2.727272727272727,8.181818181818182,89.0909090909091,110
03-04-2020,6:00 PM,10,3,124,124.0,0.0,111,2.4193548387096775,8.064516129032258,89.51612903225806,124
04-04-2020,6:00 PM,12,3,128,128.0,0.0,113,2.34375,9.375,88.28125,128
05-04-2020,6:00 PM,12,4,144,144.0,0.0,128,2.7777777777777777,8.333333333333332,88.88888888888889,144
06-04-2020,6:00 PM,12,4,151,151.0,0.0,135,2.6490066225165565,7.9470198675496695,89.40397350993378,151
07-04-2020,6:00 PM,25,4,175,175.0,0.0,146,2.2857142857142856,14.285714285714285,83.42857142857143,175
