,Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
0,30-01-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
1,31-01-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
2,01-02-2020,6:00 PM,0,0,2,2.0,0.0,2,0.0,0.0,100.0
3,02-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
4,03-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
5,04-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
6,05-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
7,06-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
8,07-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
9,08-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
10,09-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
11,10-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
12,11-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
13,12-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
14,13-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
15,14-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
16,15-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
17,16-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
18,17-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
19,18-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
20,19-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
21,20-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
22,21-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
23,22-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
24,23-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
25,24-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
26,25-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
27,26-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
28,27-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
29,28-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
30,29-02-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
31,01-03-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
32,02-03-2020,6:00 PM,0,0,3,3.0,0.0,3,0.0,0.0,100.0
33,03-03-2020,6:00 PM,3,0,3,3.0,0.0,0,0.0,100.0,0.0
34,04-03-2020,6:00 PM,3,0,3,-11.0,14.0,0,0.0,100.0,0.0
35,05-03-2020,6:00 PM,3,0,3,3.0,0.0,0,0.0,100.0,0.0
36,06-03-2020,6:00 PM,3,0,3,3.0,0.0,0,0.0,100.0,0.0
37,07-03-2020,6:00 PM,3,0,3,3.0,0.0,0,0.0,100.0,0.0
38,08-03-2020,6:00 PM,3,0,8,8.0,0.0,5,0.0,37.5,62.5
39,09-03-2020,6:00 PM,3,0,9,9.0,0.0,6,0.0,33.33333333333333,66.66666666666666
40,10-03-2020,6:00 PM,3,0,15,15.0,0.0,12,0.0,20.0,80.0
41,11-03-2020,6:00 PM,3,0,17,17.0,0.0,14,0.0,17.647058823529417,82.35294117647058
42,12-03-2020,6:00 PM,3,0,17,3.0,14.0,14,0.0,17.647058823529417,82.35294117647058
43,13-03-2020,6:00 PM,3,0,19,5.0,14.0,16,0.0,15.789473684210524,84.21052631578947
44,14-03-2020,6:00 PM,3,0,19,5.0,14.0,16,0.0,15.789473684210524,84.21052631578947
45,15-03-2020,6:00 PM,3,0,22,22.0,0.0,19,0.0,13.636363636363635,86.36363636363636
46,16-03-2020,6:00 PM,3,0,23,23.0,0.0,20,0.0,13.043478260869565,86.95652173913044
47,17-03-2020,6:00 PM,3,0,26,24.0,2.0,23,0.0,11.538461538461537,88.46153846153845
48,18-03-2020,6:00 PM,3,0,27,25.0,2.0,24,0.0,11.111111111111109,88.8888888888889
49,19-03-2020,6:00 PM,3,0,27,25.0,2.0,24,0.0,11.111111111111109,88.8888888888889
50,20-03-2020,6:00 PM,3,0,28,26.0,2.0,25,0.0,10.714285714285714,89.2857142857143
51,21-03-2020,6:00 PM,3,0,40,33.0,7.0,37,0.0,7.5,92.5
52,22-03-2020,6:00 PM,3,0,52,45.0,7.0,49,0.0,5.769230769230768,94.23076923076924
53,23-03-2020,6:00 PM,3,0,67,60.0,7.0,64,0.0,4.477611940298506,95.52238805970148
