Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
09-03-2020,6:00 PM,0,0,2,2.0,0.0,2,0.0,0.0,100.0
10-03-2020,6:00 PM,0,0,5,5.0,0.0,5,0.0,0.0,100.0
11-03-2020,6:00 PM,0,0,2,2.0,0.0,2,0.0,0.0,100.0
12-03-2020,6:00 PM,0,0,11,11.0,0.0,11,0.0,0.0,100.0
13-03-2020,6:00 PM,0,0,14,14.0,0.0,14,0.0,0.0,100.0
14-03-2020,6:00 PM,0,0,14,14.0,0.0,14,0.0,0.0,100.0
15-03-2020,6:00 PM,0,0,32,32.0,0.0,32,0.0,0.0,100.0
16-03-2020,6:00 PM,0,0,32,32.0,0.0,32,0.0,0.0,100.0
17-03-2020,6:00 PM,0,1,39,36.0,3.0,38,2.564102564102564,0.0,97.43589743589743
18-03-2020,6:00 PM,0,1,42,39.0,3.0,41,2.380952380952381,0.0,97.61904761904762
19-03-2020,6:00 PM,0,1,47,44.0,3.0,46,2.127659574468085,0.0,97.87234042553192
20-03-2020,6:00 PM,0,1,52,49.0,3.0,51,1.9230769230769231,0.0,98.07692307692307
21-03-2020,6:00 PM,0,1,63,60.0,3.0,62,1.5873015873015872,0.0,98.4126984126984
22-03-2020,6:00 PM,0,2,67,64.0,3.0,65,2.9850746268656714,0.0,97.01492537313433
23-03-2020,6:00 PM,0,2,74,71.0,3.0,72,2.7027027027027026,0.0,97.2972972972973
24-03-2020,6:00 PM,0,2,89,86.0,3.0,87,2.247191011235955,0.0,97.75280898876404
25-03-2020,6:00 PM,1,3,128,125.0,3.0,124,2.34375,0.78125,96.875
26-03-2020,6:00 PM,1,3,124,121.0,3.0,120,2.4193548387096775,0.8064516129032258,96.7741935483871
27-03-2020,10:00 AM,15,4,130,127.0,3.0,111,3.076923076923077,11.538461538461538,85.38461538461539
28-03-2020,6:00 PM,25,5,180,177.0,3.0,150,2.7777777777777777,13.88888888888889,83.33333333333334
29-03-2020,7:30 PM,25,6,186,183.0,3.0,155,3.225806451612903,13.440860215053762,83.33333333333334
30-03-2020,9:30 PM,25,8,198,195.0,3.0,165,4.040404040404041,12.626262626262626,83.33333333333334
31-03-2020,8:30 PM,39,9,216,213.0,3.0,168,4.166666666666666,18.055555555555554,77.77777777777779
01-04-2020,7:30 PM,39,9,302,299.0,3.0,254,2.980132450331126,12.91390728476821,84.10596026490066
02-04-2020,6:00 PM,42,13,335,332.0,3.0,280,3.880597014925373,12.53731343283582,83.5820895522388
03-04-2020,6:00 PM,42,16,335,332.0,3.0,277,4.776119402985075,12.53731343283582,82.68656716417911
04-04-2020,6:00 PM,42,24,490,487.0,3.0,424,4.8979591836734695,8.571428571428571,86.53061224489797
05-04-2020,6:00 PM,42,24,490,487.0,3.0,424,4.8979591836734695,8.571428571428571,86.53061224489797
06-04-2020,6:00 PM,56,45,748,743.0,5.0,647,6.016042780748663,7.4866310160427805,86.49732620320856
07-04-2020,6:00 PM,56,48,868,863.0,5.0,764,5.529953917050691,6.451612903225806,88.0184331797235
08-04-2020,5:00 PM,79,64,1018,1013.0,5.0,875,6.286836935166994,7.760314341846758,85.95284872298625
09-04-2020,5:00 PM,117,72,1135,1129.0,6.0,946,6.343612334801763,10.308370044052863,83.34801762114537
10-04-2020,5:00 PM,125,97,1364,1358.0,6.0,1142,7.111436950146628,9.164222873900293,83.72434017595309
11-04-2020,5:00 PM,188,110,1574,1568.0,6.0,1276,6.98856416772554,11.944091486658195,81.06734434561626
12-04-2020,5:00 PM,208,127,1761,1755.0,6.0,1426,7.2118114707552525,11.811470755252698,80.97671777399205
13-04-2020,5:00 PM,217,149,1985,1979.0,6.0,1619,7.506297229219143,10.93198992443325,81.56171284634762
14-04-2020,5:00 PM,229,160,2337,2331.0,6.0,1948,6.846384253316218,9.798887462558836,83.35472828412495
15-04-2020,5:00 PM,259,178,2687,2681.0,6.0,2250,6.624488276888724,9.63900260513584,83.73650911797543
16-04-2020,5:00 PM,295,187,2919,2913.0,6.0,2437,6.406303528605687,10.106200753682767,83.48749571771154
17-04-2020,5:00 PM,300,194,3205,3199.0,6.0,2711,6.053042121684867,9.360374414976599,84.58658346333854
18-04-2020,5:00 PM,331,201,3323,3317.0,6.0,2791,6.048751128498345,9.960878724044537,83.99037014745711
19-04-2020,5:00 PM,365,211,3651,3645.0,6.0,3075,5.779238564776774,9.997261024376883,84.22350041084634
20-04-2020,5:00 PM,507,223,4203,4197.0,6.0,3473,5.30573399952415,12.06281227694504,82.63145372353081
21-04-2020,5:00 PM,572,232,4669,4663.0,6.0,3865,4.968944099378882,12.251017348468622,82.78003855215249
22-04-2020,5:00 PM,722,251,5221,5215.0,6.0,4248,4.807508140203026,13.828768435165678,81.3637234246313
23-04-2020,5:00 PM,789,269,5652,5646.0,6.0,4594,4.759377211606511,13.959660297239914,81.28096249115357
24-04-2020,5:00 PM,840,283,6430,6424.0,6.0,5307,4.401244167962675,13.063763608087092,82.53499222395023
25-04-2020,5:00 PM,957,301,6817,6807.0,10.0,5559,4.415432008214757,14.038433328443597,81.54613466334165
26-04-2020,5:00 PM,1076,323,7628,7618.0,10.0,6229,4.234399580492921,14.105925537493444,81.65967488201363
27-04-2020,5:00 PM,1188,342,8068,8058.0,10.0,6538,4.238968765493307,14.724838869608329,81.03619236489837
28-04-2020,5:00 PM,1282,369,8590,8580.0,10.0,6939,4.295692665890571,14.924330616996507,80.77997671711292
29-04-2020,5:00 PM,1388,400,9318,9308.0,10.0,7530,4.2927666881305,14.895900407812835,80.81133290405667
30-04-2020,5:00 PM,1593,432,9915,9905.0,10.0,7890,4.357034795763994,16.066565809379725,79.57639939485628
01-05-2020,5:00 PM,1773,459,10498,10488.0,10.0,8266,4.372261383120595,16.888931224995236,78.73880739188417
02-05-2020,5:00 PM,1879,485,11506,11496.0,10.0,9142,4.215192073700678,16.330610116460978,79.45419780983835
03-05-2020,5:00 PM,2000,521,12296,12286.0,10.0,9775,4.237150292778139,16.26545217957059,79.49739752765127
04-05-2020,5:00 PM,2115,548,12974,12964.0,10.0,10311,4.223832279944505,16.301834438106983,79.47433328194852
05-05-2020,5:00 PM,2465,583,14541,14531.0,10.0,11493,4.009352864314696,16.95206657038718,79.03858056529812
06-05-2020,8:00 AM,2819,617,15525,15515.0,10.0,12089,3.9742351046698876,18.157809983896943,77.86795491143317
07-05-2020,8:00 AM,3094,651,16758,16748.0,10.0,13013,3.8847117794486214,18.462823725981618,77.65246449456976
08-05-2020,8:00 AM,3301,694,17974,17964.0,10.0,13979,3.861132747301658,18.365416713029934,77.7734505396684
09-05-2020,8:00 AM,3470,731,19063,19053.0,10.0,14862,3.8346535172847926,18.202801238000315,77.9625452447149
10-05-2020,8:00 AM,3800,779,20228,20218.0,10.0,15649,3.851097488629622,18.785841407949377,77.363061103421
11-05-2020,8:00 AM,4199,832,22171,22161.0,10.0,17140,3.752649857922511,18.939154751702674,77.3081953903748
12-05-2020,8:00 AM,4786,868,23401,23391.0,10.0,17747,3.7092431947352678,20.45211743087902,75.8386393743857
