Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
25-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
26-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
27-03-2020,10:00 AM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
28-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
29-03-2020,7:30 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
30-03-2020,9:30 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
31-03-2020,8:30 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
01-04-2020,7:30 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
02-04-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
03-04-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
04-04-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
05-04-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
06-04-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
07-04-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
08-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
09-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
10-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
11-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
12-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
13-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
14-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
15-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
16-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
17-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
18-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
19-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
20-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
21-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
22-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
23-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
24-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
25-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
26-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
27-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
28-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
29-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
30-04-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
01-05-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
02-05-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
03-05-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
04-05-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
05-05-2020,5:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
06-05-2020,8:00 AM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
07-05-2020,8:00 AM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
08-05-2020,8:00 AM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
09-05-2020,8:00 AM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
10-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
11-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
12-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
13-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
14-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
15-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
16-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
17-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
18-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
19-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
20-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
21-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
22-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
23-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
24-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
25-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
26-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
27-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
28-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
29-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
30-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
31-05-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
01-06-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
02-06-2020,8:00 AM,1,0,1,1.0,0.0,0,0.0,100.0,0.0
03-06-2020,8:00 AM,1,0,13,13.0,0.0,12,0.0,7.6923076923076925,92.3076923076923
