Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
07-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
08-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
09-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
10-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
11-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
12-03-2020,6:00 PM,0,0,1,-1.0,2.0,1,0.0,0.0,100.0
13-03-2020,6:00 PM,0,0,1,-1.0,2.0,1,0.0,0.0,100.0
14-03-2020,6:00 PM,0,0,1,-1.0,2.0,1,0.0,0.0,100.0
15-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
16-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
17-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
18-03-2020,6:00 PM,0,0,1,1.0,0.0,1,0.0,0.0,100.0
19-03-2020,6:00 PM,1,0,2,2.0,0.0,1,0.0,50.0,50.0
20-03-2020,6:00 PM,1,0,3,3.0,0.0,2,0.0,33.33333333333333,66.66666666666666
21-03-2020,6:00 PM,1,0,3,3.0,0.0,2,0.0,33.33333333333333,66.66666666666666
22-03-2020,6:00 PM,1,0,7,5.0,2.0,6,0.0,14.285714285714285,85.71428571428571
23-03-2020,6:00 PM,1,0,9,7.0,2.0,8,0.0,11.11111111111111,88.88888888888889
24-03-2020,6:00 PM,1,0,15,13.0,2.0,14,0.0,6.666666666666667,93.33333333333333
25-03-2020,6:00 PM,1,0,18,16.0,2.0,17,0.0,5.555555555555555,94.44444444444444
26-03-2020,6:00 PM,1,1,26,20.0,6.0,24,3.8461538461538463,3.8461538461538463,92.3076923076923
27-03-2020,10:00 AM,1,1,29,23.0,6.0,27,3.4482758620689653,3.4482758620689653,93.10344827586206
28-03-2020,6:00 PM,2,1,40,34.0,6.0,37,2.5,5.0,92.5
29-03-2020,7:30 PM,4,1,49,43.0,6.0,44,2.0408163265306123,8.16326530612245,89.79591836734694
30-03-2020,9:30 PM,4,1,67,61.0,6.0,62,1.4925373134328357,5.970149253731343,92.53731343283582
31-03-2020,8:30 PM,4,1,74,68.0,6.0,69,1.3513513513513513,5.405405405405405,93.24324324324324
01-04-2020,7:30 PM,6,1,234,228.0,6.0,227,0.4273504273504274,2.564102564102564,97.00854700854701
02-04-2020,6:00 PM,6,1,234,228.0,6.0,227,0.4273504273504274,2.564102564102564,97.00854700854701
03-04-2020,6:00 PM,6,1,309,303.0,6.0,302,0.3236245954692557,1.9417475728155338,97.73462783171522
04-04-2020,6:00 PM,6,2,411,405.0,6.0,403,0.48661800486618007,1.4598540145985401,98.05352798053528
05-04-2020,6:00 PM,6,3,485,479.0,6.0,476,0.6185567010309279,1.2371134020618557,98.14432989690721
06-04-2020,6:00 PM,8,5,571,563.0,8.0,558,0.8756567425569177,1.4010507880910683,97.72329246935202
07-04-2020,6:00 PM,8,5,621,613.0,8.0,608,0.8051529790660225,1.288244766505636,97.90660225442835
08-04-2020,5:00 PM,19,7,690,682.0,8.0,664,1.0144927536231882,2.753623188405797,96.23188405797102
09-04-2020,5:00 PM,21,8,738,730.0,8.0,709,1.084010840108401,2.8455284552845526,96.07046070460704
10-04-2020,5:00 PM,21,8,834,826.0,8.0,805,0.9592326139088728,2.5179856115107913,96.52278177458034
11-04-2020,5:00 PM,44,8,911,903.0,8.0,859,0.8781558726673985,4.829857299670691,94.29198682766192
12-04-2020,5:00 PM,44,10,969,961.0,8.0,915,1.0319917440660475,4.540763673890609,94.42724458204334
13-04-2020,5:00 PM,50,11,1075,1067.0,8.0,1014,1.0232558139534882,4.651162790697675,94.32558139534883
14-04-2020,5:00 PM,58,11,1173,1165.0,8.0,1104,0.937766410912191,4.94458653026428,94.11764705882352
15-04-2020,5:00 PM,81,12,1204,1196.0,8.0,1111,0.9966777408637874,6.7275747508305646,92.27574750830566
16-04-2020,5:00 PM,118,14,1242,1234.0,8.0,1110,1.1272141706924315,9.500805152979067,89.3719806763285
17-04-2020,5:00 PM,180,15,1267,1259.0,8.0,1072,1.1838989739542225,14.206787687450669,84.6093133385951
18-04-2020,5:00 PM,283,15,1323,1315.0,8.0,1025,1.1337868480725624,21.390778533635675,77.47543461829176
19-04-2020,5:00 PM,365,15,1372,1364.0,8.0,992,1.0932944606413995,26.60349854227405,72.30320699708454
20-04-2020,5:00 PM,411,15,1477,1469.0,8.0,1051,1.0155721056194988,27.826675693974273,71.15775220040624
21-04-2020,5:00 PM,457,17,1520,1512.0,8.0,1046,1.118421052631579,30.065789473684212,68.8157894736842
22-04-2020,5:00 PM,635,18,1596,1588.0,8.0,943,1.1278195488721803,39.78696741854637,59.08521303258145
23-04-2020,5:00 PM,662,18,1629,1621.0,8.0,949,1.1049723756906076,40.638428483732355,58.25659914057704
24-04-2020,5:00 PM,752,20,1683,1675.0,8.0,911,1.1883541295306002,44.682115270350565,54.129530600118834
25-04-2020,5:00 PM,866,22,1755,1746.0,9.0,867,1.2535612535612535,49.344729344729345,49.401709401709404
26-04-2020,5:00 PM,960,23,1821,1812.0,9.0,838,1.2630422844590883,52.71828665568369,46.01867105985722
27-04-2020,5:00 PM,1020,24,1885,1876.0,9.0,841,1.273209549071618,54.11140583554377,44.61538461538462
28-04-2020,5:00 PM,1101,24,1937,1928.0,9.0,812,1.23902942694889,56.84047496128033,41.92049561177078
29-04-2020,5:00 PM,1168,25,2058,2049.0,9.0,865,1.2147716229348884,56.754130223517976,42.031098153547134
30-04-2020,5:00 PM,1210,27,2162,2153.0,9.0,925,1.2488436632747455,55.96669750231268,42.78445883441258
01-05-2020,5:00 PM,1258,27,2323,2314.0,9.0,1038,1.162290142057684,54.15411106328024,44.683598794662075
02-05-2020,5:00 PM,1312,28,2526,2517.0,9.0,1186,1.1084718923198733,51.93982581155978,46.951702296120345
03-05-2020,5:00 PM,1341,29,2757,2748.0,9.0,1387,1.051867972433805,48.63982589771491,50.30830612985129
04-05-2020,5:00 PM,1379,30,3023,3014.0,9.0,1614,0.9923916639100231,45.61693681773073,53.39067151835925
05-05-2020,5:00 PM,1409,31,3550,3541.0,9.0,2110,0.8732394366197183,39.690140845070424,59.436619718309856
06-05-2020,8:00 AM,1485,33,4058,4049.0,9.0,2540,0.8132084770823066,36.594381468703794,62.5924100542139
07-05-2020,8:00 AM,1516,35,4829,4820.0,9.0,3278,0.7247877407330711,31.393663284323875,67.88154897494306
08-05-2020,8:00 AM,1547,37,5409,5400.0,9.0,3825,0.6840451100018488,28.600480680347566,70.71547420965058
09-05-2020,8:00 AM,1605,40,6009,6000.0,9.0,4364,0.6656681644200366,26.70993509735397,72.624396738226
10-05-2020,8:00 AM,1824,44,6535,6526.0,9.0,4667,0.6732976281560826,27.91124713083397,71.41545524100995
11-05-2020,8:00 AM,1959,47,7204,7195.0,9.0,5198,0.6524153248195447,27.193225985563572,72.15435868961688
12-05-2020,8:00 AM,2051,53,8002,7993.0,9.0,5898,0.6623344163959011,25.631092226943263,73.70657335666083
13-05-2020,8:00 AM,2134,61,8718,8709.0,9.0,6523,0.6997017664601973,24.478091305345263,74.82220692819453
14-05-2020,8:00 AM,2176,64,9227,9218.0,9.0,6987,0.6936165600953723,23.582963043242657,75.72342039666196
15-05-2020,8:00 AM,2240,66,9674,9665.0,9.0,7368,0.6822410585073393,23.154848046309695,76.16291089518296
16-05-2020,8:00 AM,2599,71,10108,10099.0,9.0,7438,0.702413929560744,25.71230708349822,73.58527898694103
17-05-2020,8:00 AM,3538,74,10585,10576.0,9.0,6973,0.6991025035427492,33.42465753424658,65.87623996221068
18-05-2020,8:00 AM,4172,78,11224,11215.0,9.0,6974,0.6949394155381327,37.17034925160371,62.13471133285816
19-05-2020,8:00 AM,4406,81,11760,11751.0,9.0,7273,0.6887755102040817,37.465986394557824,61.845238095238095
20-05-2020,8:00 AM,4895,84,12448,12439.0,9.0,7469,0.6748071979434447,39.32358611825193,60.00160668380463
21-05-2020,8:00 AM,5882,87,13191,13182.0,9.0,7222,0.6595405958608141,44.591009021302405,54.749450382836784
22-05-2020,8:00 AM,6282,94,13967,13958.0,9.0,7591,0.673014963843345,44.97744683897759,54.34953819717907
23-05-2020,8:00 AM,7128,98,14753,14744.0,9.0,7527,0.6642716735579204,48.31559682776385,51.02013149867823
24-05-2020,8:00 AM,7491,103,15512,15503.0,9.0,7918,0.6640020629190304,48.29164517792677,51.0443527591542
25-05-2020,8:00 AM,8324,111,16277,16268.0,9.0,7842,0.68194384714628,51.13964489770842,48.1784112551453
26-05-2020,8:00 AM,8731,118,17082,17073.0,9.0,8233,0.6907856222924716,51.11228193419974,48.196932443507784
27-05-2020,8:00 AM,9342,127,17728,17719.0,9.0,8259,0.7163808664259929,52.696299638989174,46.58731949458484
28-05-2020,8:00 AM,9909,133,18545,18536.0,9.0,8503,0.7171744405500136,53.43219196548935,45.85063359396064
29-05-2020,8:00 AM,10548,145,19372,19363.0,9.0,8679,0.7485029940119761,54.44972124716085,44.80177575882717
30-05-2020,8:00 AM,11313,154,20246,20237.0,9.0,8779,0.7606440778425368,55.87770423787415,43.361651684283316
31-05-2020,8:00 AM,12000,160,21184,21175.0,9.0,9024,0.7552870090634441,56.646525679758305,42.59818731117825
01-06-2020,8:00 AM,12757,173,22333,22324.0,9.0,9403,0.7746384274392155,57.121748085792326,42.10361348676846
02-06-2020,8:00 AM,13170,184,23495,23486.0,9.0,10141,0.783145350074484,56.054479676526924,43.16237497339859
03-06-2020,8:00 AM,13706,197,24586,24577.0,9.0,10683,0.8012690148865208,55.74717318799317,43.45155779712031
04-06-2020,8:00 AM,14316,208,25872,25863.0,9.0,11348,0.8039579468150896,55.33395176252319,43.86209029066172
