Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
30-01-2020,6:00 PM,Kerala,0,0,1,1.0,0.0,1,0.0,0.0,100.0
31-01-2020,6:00 PM,Kerala,0,0,1,1.0,0.0,1,0.0,0.0,100.0
01-02-2020,6:00 PM,Kerala,0,0,2,2.0,0.0,2,0.0,0.0,100.0
02-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
03-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
04-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
05-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
06-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
07-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
08-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
09-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
10-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
11-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
12-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
13-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
14-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
15-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
16-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
17-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
18-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
19-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
20-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
21-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
22-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
23-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
24-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
25-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
26-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
27-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
28-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
29-02-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
01-03-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
02-03-2020,6:00 PM,Telengana,0,0,1,1.0,0.0,1,0.0,0.0,100.0
02-03-2020,6:00 PM,Kerala,0,0,3,3.0,0.0,3,0.0,0.0,100.0
02-03-2020,6:00 PM,Delhi,0,0,1,1.0,0.0,1,0.0,0.0,100.0
03-03-2020,6:00 PM,Telengana,0,0,1,1.0,0.0,1,0.0,0.0,100.0
03-03-2020,6:00 PM,Rajasthan,0,0,1,1.0,0.0,1,0.0,0.0,100.0
03-03-2020,6:00 PM,Kerala,3,0,3,3.0,0.0,0,0.0,100.0,0.0
03-03-2020,6:00 PM,Delhi,0,0,1,1.0,0.0,1,0.0,0.0,100.0
04-03-2020,6:00 PM,Uttar Pradesh,0,0,6,6.0,0.0,6,0.0,0.0,100.0
04-03-2020,6:00 PM,Kerala,3,0,3,-11.0,14.0,0,0.0,100.0,0.0
04-03-2020,6:00 PM,Haryana,0,0,2,2.0,0.0,2,0.0,0.0,100.0
04-03-2020,6:00 PM,Delhi,0,0,1,1.0,0.0,1,0.0,0.0,100.0
04-03-2020,6:00 PM,Telengana,0,0,1,1.0,0.0,1,0.0,0.0,100.0
04-03-2020,6:00 PM,Rajasthan,0,0,15,15.0,0.0,15,0.0,0.0,100.0
05-03-2020,6:00 PM,Delhi,0,0,2,2.0,0.0,2,0.0,0.0,100.0
05-03-2020,6:00 PM,Haryana,0,0,2,-12.0,14.0,2,0.0,0.0,100.0
05-03-2020,6:00 PM,Kerala,3,0,3,3.0,0.0,0,0.0,100.0,0.0
05-03-2020,6:00 PM,Rajasthan,0,0,15,15.0,0.0,15,0.0,0.0,100.0
05-03-2020,6:00 PM,Telengana,0,0,1,1.0,0.0,1,0.0,0.0,100.0
05-03-2020,6:00 PM,Uttar Pradesh,0,0,7,7.0,0.0,7,0.0,0.0,100.0
06-03-2020,6:00 PM,Delhi,0,0,3,3.0,0.0,3,0.0,0.0,100.0
06-03-2020,6:00 PM,Haryana,0,0,2,-12.0,14.0,2,0.0,0.0,100.0
06-03-2020,6:00 PM,Kerala,3,0,3,3.0,0.0,0,0.0,100.0,0.0
06-03-2020,6:00 PM,Rajasthan,0,0,15,15.0,0.0,15,0.0,0.0,100.0
06-03-2020,6:00 PM,Uttar Pradesh,0,0,7,7.0,0.0,7,0.0,0.0,100.0
06-03-2020,6:00 PM,Telengana,0,0,1,1.0,0.0,1,0.0,0.0,100.0
07-03-2020,6:00 PM,Kerala,3,0,3,3.0,0.0,0,0.0,100.0,0.0
07-03-2020,6:00 PM,Uttar Pradesh,0,0,7,-7.0,14.0,7,0.0,0.0,100.0
07-03-2020,6:00 PM,Ladakh,0,0,2,2.0,0.0,2,0.0,0.0,100.0
07-03-2020,6:00 PM,Telengana,0,0,1,1.0,0.0,1,0.0,0.0,100.0
07-03-2020,6:00 PM,Tamil Nadu,0,0,1,1.0,0.0,1,0.0,0.0,100.0
07-03-2020,6:00 PM,Delhi,0,0,3,3.0,0.0,3,0.0,0.0,100.0
07-03-2020,6:00 PM,Haryana,0,0,2,2.0,0.0,2,0.0,0.0,100.0
07-03-2020,6:00 PM,Rajasthan,0,0,15,15.0,0.0,15,0.0,0.0,100.0
08-03-2020,6:00 PM,Ladakh,0,0,2,2.0,0.0,2,0.0,0.0,100.0
08-03-2020,6:00 PM,Telengana,0,0,1,-13.0,14.0,1,0.0,0.0,100.0
08-03-2020,6:00 PM,Tamil Nadu,0,0,1,1.0,0.0,1,0.0,0.0,100.0
08-03-2020,6:00 PM,Rajasthan,0,0,15,15.0,0.0,15,0.0,0.0,100.0
08-03-2020,6:00 PM,Kerala,3,0,8,8.0,0.0,5,0.0,37.5,62.5
08-03-2020,6:00 PM,Haryana,0,0,2,2.0,0.0,2,0.0,0.0,100.0
08-03-2020,6:00 PM,Delhi,0,0,3,3.0,0.0,3,0.0,0.0,100.0
08-03-2020,6:00 PM,Uttar Pradesh,0,0,7,7.0,0.0,7,0.0,0.0,100.0
09-03-2020,6:00 PM,Ladakh,0,0,2,2.0,0.0,2,0.0,0.0,100.0
09-03-2020,6:00 PM,Karnataka,0,0,1,-13.0,14.0,1,0.0,0.0,100.0
09-03-2020,6:00 PM,Kerala,3,0,9,9.0,0.0,6,0.0,33.33333333333333,66.66666666666666
09-03-2020,6:00 PM,Maharashtra,0,0,2,2.0,0.0,2,0.0,0.0,100.0
