Serial,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National
1,30-01-2020,6:00 PM,Kerala,0,0,1,1,0
2,31-01-2020,6:00 PM,Kerala,0,0,1,1,0
3,01-02-2020,6:00 PM,Kerala,0,0,2,2,0
4,02-02-2020,6:00 PM,Kerala,0,0,3,3,0
5,03-02-2020,6:00 PM,Kerala,0,0,3,3,0
6,04-02-2020,6:00 PM,Kerala,0,0,3,3,0
7,05-02-2020,6:00 PM,Kerala,0,0,3,,0
8,06-02-2020,6:00 PM,Kerala,0,0,3,,0
9,07-02-2020,6:00 PM,Kerala,0,0,3,,0
10,08-02-2020,6:00 PM,Kerala,0,0,3,,0
11,09-02-2020,6:00 PM,Kerala,0,0,3,,0
12,10-02-2020,6:00 PM,Kerala,0,0,3,,0
13,11-02-2020,6:00 PM,Kerala,0,0,3,,
14,12-02-2020,6:00 PM,Kerala,0,0,3,,
15,13-02-2020,6:00 PM,Kerala,0,0,3,,
16,14-02-2020,6:00 PM,Kerala,0,0,3,,
17,15-02-2020,6:00 PM,Kerala,0,0,3,,
18,16-02-2020,6:00 PM,Kerala,0,0,3,,
19,17-02-2020,6:00 PM,Kerala,0,0,3,,
20,18-02-2020,6:00 PM,Kerala,0,0,3,,0
21,19-02-2020,6:00 PM,Kerala,0,0,3,,0
22,20-02-2020,6:00 PM,Kerala,0,0,3,,0
23,21-02-2020,6:00 PM,Kerala,0,0,3,,0
24,22-02-2020,6:00 PM,Kerala,0,0,3,3,0
25,23-02-2020,6:00 PM,Kerala,0,0,3,3,0
26,24-02-2020,6:00 PM,Kerala,0,0,3,3,0
27,25-02-2020,6:00 PM,Kerala,0,0,3,3,0
28,26-02-2020,6:00 PM,Kerala,0,0,3,3,0
29,27-02-2020,6:00 PM,Kerala,0,0,3,3,0
30,28-02-2020,6:00 PM,Kerala,0,0,3,3,0
31,29-02-2020,6:00 PM,Kerala,0,0,3,3,0
32,01-03-2020,6:00 PM,Kerala,0,0,3,3,0
33,02-03-2020,6:00 PM,Telengana,0,0,1,1,0
34,02-03-2020,6:00 PM,Kerala,0,0,3,3,0
35,02-03-2020,6:00 PM,Delhi,0,0,1,1,0
36,03-03-2020,6:00 PM,Telengana,0,0,1,1,0
37,03-03-2020,6:00 PM,Rajasthan,0,0,1,3,0
38,03-03-2020,6:00 PM,Kerala,3,0,3,0,0
39,03-03-2020,6:00 PM,Delhi,0,0,1,1,0
40,04-03-2020,6:00 PM,Uttar Pradesh,0,0,6,1,0
41,04-03-2020,6:00 PM,Kerala,3,0,3,0,14
42,04-03-2020,6:00 PM,Haryana,0,0,2,3,0
43,04-03-2020,6:00 PM,Delhi,0,0,1,1,0
44,04-03-2020,6:00 PM,Telengana,0,0,1,1,0
45,04-03-2020,6:00 PM,Rajasthan,0,0,15,6,0
46,05-03-2020,6:00 PM,Delhi,0,0,2,2,0
47,05-03-2020,6:00 PM,Haryana,0,0,2,0,14
48,05-03-2020,6:00 PM,Kerala,3,0,3,3,0
49,05-03-2020,6:00 PM,Rajasthan,0,0,15,1,0
50,05-03-2020,6:00 PM,Telengana,0,0,1,1,0
51,05-03-2020,6:00 PM,Uttar Pradesh,0,0,7,7,0
52,06-03-2020,6:00 PM,Delhi,0,0,3,3,0
53,06-03-2020,6:00 PM,Haryana,0,0,2,0,14
54,06-03-2020,6:00 PM,Kerala,3,0,3,3,0
55,06-03-2020,6:00 PM,Rajasthan,0,0,15,1,0
56,06-03-2020,6:00 PM,Uttar Pradesh,0,0,7,1,0
57,06-03-2020,6:00 PM,Telengana,0,0,1,7,0
58,07-03-2020,6:00 PM,Kerala,3,0,3,3,0
59,07-03-2020,6:00 PM,Uttar Pradesh,0,0,7,0,14
60,07-03-2020,6:00 PM,Ladakh,0,0,2,3,0
61,07-03-2020,6:00 PM,Telengana,0,0,1,1,0
62,07-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,0
63,07-03-2020,6:00 PM,Delhi,0,0,3,1,0
64,07-03-2020,6:00 PM,Haryana,0,0,2,2,0
65,07-03-2020,6:00 PM,Rajasthan,0,0,15,7,0
66,08-03-2020,6:00 PM,Ladakh,0,0,2,3,0
67,08-03-2020,6:00 PM,Telengana,0,0,1,0,14
68,08-03-2020,6:00 PM,Tamil Nadu,0,0,1,8,0
69,08-03-2020,6:00 PM,Rajasthan,0,0,15,1,0
70,08-03-2020,6:00 PM,Kerala,3,0,8,1,0
71,08-03-2020,6:00 PM,Haryana,0,0,2,1,0
72,08-03-2020,6:00 PM,Delhi,0,0,3,2,0
73,08-03-2020,6:00 PM,Uttar Pradesh,0,0,7,7,0
74,09-03-2020,6:00 PM,Ladakh,0,0,2,4,0
75,09-03-2020,6:00 PM,Karnataka,0,0,1,0,14
76,09-03-2020,6:00 PM,Kerala,3,0,9,1,0
77,09-03-2020,6:00 PM,Maharashtra,0,0,2,9,0
78,09-03-2020,6:00 PM,Punjab,0,0,1,2,0
79,09-03-2020,6:00 PM,Rajasthan,0,0,15,1,0
80,09-03-2020,6:00 PM,Tamil Nadu,0,0,1,1,0
81,09-03-2020,6:00 PM,Telengana,0,0,1,1,0
82,09-03-2020,6:00 PM,Jammu and Kashmir,0,0,1,1,0
83,09-03-2020,6:00 PM,Uttar Pradesh,0,0,7,1,0
84,09-03-2020,6:00 PM,Haryana,0,0,2,2,0
85,09-03-2020,6:00 PM,Delhi,0,0,4,7,0
86,10-03-2020,6:00 PM,Uttar Pradesh,0,0,7,4,0
87,10-03-2020,6:00 PM,Ladakh,0,0,2,0,14
88,10-03-2020,6:00 PM,Delhi,0,0,4,4,0
89,10-03-2020,6:00 PM,Haryana,0,0,2,15,0
90,10-03-2020,6:00 PM,Karnataka,0,0,4,5,0
91,10-03-2020,6:00 PM,Kerala,3,0,15,1,0
92,10-03-2020,6:00 PM,Maharashtra,0,0,5,1,0
93,10-03-2020,6:00 PM,Punjab,0,0,1,1,0
